CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,LATITUD,LONGITUD,ALTITUD,CVE_CARTA,AMBITO,PTOT,PMAS,PFEM,VTOT
7,Chiapas,Chis.,117,Montecristo de Guerrero,4,La Barda,154111.25,923839.87,1330,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,5,Buenavista,154047.026,923951.792,1443,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,6,El Capricho,153904.951,923657.31,962,D15B22,R,12,*,*,2
7,Chiapas,Chis.,117,Montecristo de Guerrero,7,Celaya,153922.694,923611.36,896,D15B22,R,7,*,*,2
7,Chiapas,Chis.,117,Montecristo de Guerrero,8,La Central,154430.843,923453.517,1293,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,10,El Currucho,154352.163,923657.997,962,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,11,La Democracia,153824.418,924034.575,1285,D15B21,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,12,El Desengaño,154331.535,923727.154,987,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,13,El Edén,154405.218,923604.904,977,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,14,Emiliano Zapata,153857.082,924321.02,1235,D15B21,R,316,156,160,68
7,Chiapas,Chis.,117,Montecristo de Guerrero,15,El Encanto,154238.437,923730.852,884,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,16,El Ensueño,153928.891,923549.542,898,D15B22,R,5,*,*,2
7,Chiapas,Chis.,117,Montecristo de Guerrero,17,El Esfuerzo,154139.785,924118.552,1085,D15B21,R,4,*,*,1
7,Chiapas,Chis.,117,Montecristo de Guerrero,18,La Esperanza,154344.152,923531.3,1234,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,19,Los Gatos,153754.708,924032.77,1432,D15B21,R,2,*,*,1
7,Chiapas,Chis.,117,Montecristo de Guerrero,20,La Golondrina,153822.653,923739.96,1389,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,21,Guardianía,154018.923,924043.484,1344,D15B21,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,22,Las Joyas,153853.421,924417.229,1416,D15B21,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,23,Laguna del Cofre,153739.768,923829.522,1799,D15B22,R,1055,519,536,184
7,Chiapas,Chis.,117,Montecristo de Guerrero,24,La Libertad,153939.11,923755.302,1034,D15B22,R,5,*,*,1
7,Chiapas,Chis.,117,Montecristo de Guerrero,25,El Limón,154231.502,923509.971,831,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,26,El Limón,154226.848,923948.764,1160,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,27,Llano Grande,153847.655,923816.739,1239,D15B22,R,152,80,72,24
7,Chiapas,Chis.,117,Montecristo de Guerrero,28,La Lucha,153914.325,923719.271,940,D15B22,R,114,61,53,24
7,Chiapas,Chis.,117,Montecristo de Guerrero,29,Las Maravillas (La Albarda),154037.072,923855.598,1362,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,30,Morelia,154356.994,923510.396,1232,D15B22,R,8,*,*,1
7,Chiapas,Chis.,117,Montecristo de Guerrero,31,El Nanzal,154117.372,923928.26,1097,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,32,Nuevo Milenio Toluca,154125.894,923809.681,1302,D15B22,R,185,93,92,33
7,Chiapas,Chis.,117,Montecristo de Guerrero,33,El Palenque,153807.642,924016.15,1727,D15B21,R,74,42,32,14
7,Chiapas,Chis.,117,Montecristo de Guerrero,34,Monte Virgen Candelaria,153902.636,924248.731,1313,D15B21,R,117,60,57,26
7,Chiapas,Chis.,117,Montecristo de Guerrero,35,La Opinión,154000.227,923541.177,871,D15B22,R,14,8,6,5
7,Chiapas,Chis.,117,Montecristo de Guerrero,36,El Palenque,153731.091,923920.205,1545,D15B22,R,243,131,112,43
7,Chiapas,Chis.,117,Montecristo de Guerrero,37,El Paraíso,153911.382,923621.707,906,D15B22,R,13,6,7,3
7,Chiapas,Chis.,117,Montecristo de Guerrero,38,El Perú,153919.507,923552.464,908,D15B22,R,4,*,*,1
7,Chiapas,Chis.,117,Montecristo de Guerrero,39,Peña de Oro,154437.6,923507.631,1354,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,40,La Pomarrosa,154153.63,923913.472,999,D15B22,R,6,*,*,1
7,Chiapas,Chis.,117,Montecristo de Guerrero,41,El Progreso,154259.399,923641.841,856,D15B22,R,0,0,0,0
7,Chiapas,Chis.,117,Montecristo de Guerrero,42,El Progreso,153921.108,923604.317,902,D15B22,R,15,*,*,2
7,Chiapas,Chis.,117,Montecristo de Guerrero,43,La Providencia,154205.414,923824.139,918,D15B22,R,4,*,*,1
7,Chiapas,Chis.,117,Montecristo de Guerrero,44,Puerto Rico,153953.697,924242.147,1237,D15B21,R,322,160,162,69
7,Chiapas,Chis.,117,Montecristo de Guerrero,45,Rancho Bonito,154354.369,923511.089,1234,D15B22,R,6,*,*,1
7,Chiapas,Chis.,117,Montecristo de Guerrero,46,Ninguno,154103.041,923803.531,1262,D15B22,R,0,0,0,0
